experiment_id,blocking_strategy,feature_set,model,model_params,validation_split,candidate_recall,reduction_ratio,pair_precision,pair_recall,macro_f05,singleton_f05,s2_f05,s3_f05,training_time,inference_time,instance_type,estimated_cost,notes
E00,none,none,none,none,dev/val stratified S1 holdout,,,,,,,,,,,local M-series 12c,0.00,"Data profile. 26.4M rows. Country is a hard constraint (7638365/7638365 matched pairs agree). Many-to-one verified: every matched S2/S3 id claimed by exactly 1 S1. Singletons 5.585%. Mean 3.461 matches/S1."
E01a,"B1 compact + B2 skel + B3 rare-tok + B4 tok*firstnum + B5 firstnum*street + B6 prefix8",none,none,"max_posting=120,cap=uncapped",dev 40004 vs full 10.32M pool,0.8545,0.9999925,,0.8545,,,,,,120s,local M-series 12c,0.00,"FIRST blocking run. macro_f05_ceiling=0.9295. 1.19% entities got zero candidates. Diagnosis found noise-list bug."
E01b,same as E01a,none,none,"max_posting=300,cap=uncapped",dev 40004 vs full 10.32M pool,0.8952,0.9999,,0.8952,,,,,,92s,local M-series 12c,0.00,"After fixing name-noise criterion (add_rate+DF instead of drop_rate). ceiling=0.9525. zero-cand 0.39%."
E01c,"E01b + all-address-numbers (not just first) + B7 rare-name x rare-addr token",none,none,"max_posting=300,cap=40",dev 40004 vs full 10.32M pool,0.8972,0.9999944,,0.8972,,,,,,132s,local M-series 12c,0.00,"ceiling=0.9546 at 34.8 cand/S1."
E01d,same as E01c,none,none,"max_posting=300,cap=60",dev 40004 vs full 10.32M pool,0.9087,0.9999920,,0.9087,,,,,,132s,local M-series 12c,0.00,"ceiling=0.9611 at 49.6 cand/S1."
E01e,same as E01c,none,none,"max_posting=300,cap=uncapped",dev 40004 vs full 10.32M pool,0.9459,0.9999704,,0.9459,,,,,,132s,local M-series 12c,0.00,"BEST CEILING 0.9782. 183.5 cand/S1. zero-cand 0.095%. Gap to cap=40 shows n_keys ranking is the limiter -> needs cheap lexical reranker."
E02,"B1-B7 union, max_posting=300",none,"rerank: 0.50*name+0.28*addr+0.14*num+0.08*keys",K=10,dev 40004 vs full 10.32M pool,0.8880,0.9999976,,0.8880,,,,,,n/a,local M-series 12c,0.00,"Lexical reranker Recall@10. ceiling=0.9549 (vs n_keys 0.9527) at 9.7 cand/S1."
E02,"B1-B7 union, max_posting=300",none,same reranker,K=20,dev 40004 vs full 10.32M pool,0.9048,0.9999953,,0.9048,,,,,,n/a,local M-series 12c,0.00,"Recall@20. ceiling=0.9615 (vs n_keys 0.9583) at 18.6 cand/S1."
E02,"B1-B7 union, max_posting=300",none,same reranker,K=40,dev 40004 vs full 10.32M pool,0.9189,0.9999912,,0.9189,,,,,,n/a,local M-series 12c,0.00,"Recall@40. ceiling=0.9670 (vs n_keys 0.9624) at 34.8 cand/S1."
E02,"B1-B7 union, max_posting=300",none,same reranker,K=80,dev 40004 vs full 10.32M pool,0.9300,0.9999840,,0.9300,,,,,,170s,local M-series 12c,0.00,"Recall@80 = OPERATING POINT. ceiling=0.9719 at 63.2 cand/S1. Retains 0.9719 of the 0.9782 uncapped blocking ceiling with 65% fewer candidates."
E04,"B1-B7 + rerank top-80",53 lexical + 9 context,LightGBM,"leaves=127,trees=600,lr=0.06,2.88M pairs (22.3% pos, 8 hard + 4 rand neg/entity)",dev 40004,0.9300,0.9999840,0.9827,0.8449,0.9250,0.9396,0.8887,0.9008,122s,196s,local M-series 12c,0.00,"First end-to-end. Optimal threshold 0.85/0.875 (NOT 0.5). 95.2% of ceiling."
E04,"B1-B7 + rerank top-80",53 lexical + 9 context,LightGBM,dev-tuned params applied unchanged,val 59999,0.9294,0.9999840,0.9804,0.8454,0.9238,0.9326,0.8878,0.9001,122s,291s,local M-series 12c,0.00,"UNBIASED val. dev->val gap only -0.0012 => decision params generalise."
E05,"B1-B7 + rerank top-80",62 lexical + 9 context (+9 fuzzy street-number),LightGBM,"leaves=127,trees=600,lr=0.06, same sampling",dev 40004,0.9300,0.9999840,0.9824,0.8528,0.9285,0.9405,0.8940,0.9071,1581s,196s,local M-series 12c,0.00,"Fuzzy numeric features from E04 error analysis (one-digit/truncated street numbers). +0.0035 over E04; recall 0.8449->0.8528 at equal precision."
E05,"B1-B7 + rerank top-80",62 lexical + 9 context,LightGBM,dev-tuned params applied unchanged,val 59999,0.9294,0.9999840,0.9805,0.8526,0.9274,0.9338,0.8937,0.9050,1581s,281s,local M-series 12c,0.00,"BEST SO FAR. UNBIASED val. dev->val gap -0.0011. 95.4% of the 0.9717 ceiling."
